ddi_id,drug1,drug2,description,level
15517,Monoamine Oxidase Inhibitors,Alpha/Beta Agonists,MAO Inhibitors may enhance the hypertensive effect of Alpha/Beta-Agonists,MINOR
15518,Monoamine Oxidase Inhibitors,Amphetamines,MAO Inhibitors may enhance the hypertensive effect of amphetamines,MINOR
15519,Alpha/Beta Agonists,Inhalational Anesthetics,Inhalational Anesthetics may enhance the arrhythmogenic effect of Alpha/Beta Agonists,MINOR
15522,Monoamine Oxidase Inhibitors,Buspirone,May increase blood pressure,MINOR
15523,Monoamine Oxidase Inhibitors,Dextromethorphan,fatal/non-fatal reactions,MAJOR
15524,Monoamine Oxidase Inhibitors,Levodopa,life-threatening hypertensive reaction,MAJOR
15525,Monoamine Oxidase Inhibitors,Methyldopa,hypertension may occur,MINOR
15526,Monoamine Oxidase Inhibitors,Mirtazapine,Label warning,MAJOR
15527,Monoamine Oxidase Inhibitors,Pethidine,potentially life-threatening reaction,MINOR
15528,Monoamine Oxidase Inhibitors,Tramadol,serotonin syndrome,MINOR
15529,Monoamine Oxidase Inhibitors,Serotonin/Norepinephrine Reuptake Inhibitors,serotonin syndrome,MAJOR
15530,Monoamine Oxidase Inhibitors,Selective Serotonin Reuptake Inhibitors,serotonin syndrome,MAJOR
15531,Monoamine Oxidase Inhibitors,Indirectly Acting Sympathomimetic Amines,potentially fatal hypertensive crisis,MAJOR
15532,Monoamine Oxidase Inhibitors,Phenylephrine,potentially fatal hypertensive crisis,MAJOR
15533,Monoamine Oxidase Inhibitors,Tricyclic Antidepressants,very toxic and sometimes fatal reactions the serotonin syndrome or similar,MAJOR
15534,Monoamine Oxidase Inhibitors,Tryptophan,severe behavioural and neurological signs of toxicity,MAJOR
15535,Conivaptan,Cyp3A4 Substrates,may increase the serum concentration of CYP3A4 Substrates,MINOR
15536,Fusidic Acid,Cyp3A4 Substrates,may increase the serum concentration of CYP3A4 Substrates,MINOR
15537,Riociguat,Vasodilators Organic Nitrates,may enhance the hypotensive effect of riociguat,MINOR
15538,Phosphodiesterase 5 Inhibitors,Vasodilators Organic Nitrates,may enhance the vasodilatory effect of vasodilators,MINOR
15539,Cisapride,Strong Cyp3A4 Inhibitors,QT prolongation have been reported in patients taking cisapride with other drugs that inhibit CYP3A4,MINOR
15542,Proton Pump Inhibitors,Clopidogrel,esomeprazole may diminish the antiplatelet effect of clopidogrel,MINOR
15543,Proton Pump Inhibitors,Dasatinib,Proton Pump Inhibitors may decrease the serum concentration of Dasatinib,MINOR
15544,Proton Pump Inhibitors,Delavirdine,Proton Pump Inhibitors may decrease the serum concentration of Delavirdine,MINOR
15545,Proton Pump Inhibitors,Erlotinib,Proton Pump Inhibitors may decrease the serum concentration of Erlotinib,MINOR
15546,Proton Pump Inhibitors,Nelfinavir,Proton Pump Inhibitors may decrease serum concentrations of the active metabolite(s) of Nelfinavir,MINOR
15547,Proton Pump Inhibitors,Ponatinib,Proton Pump Inhibitors may decrease the serum concentration of Ponatinib,MINOR
15548,Proton Pump Inhibitors,Rilpivirine,Proton Pump Inhibitors may decrease the serum concentration of Rilpivirine,MINOR
15549,Proton Pump Inhibitors,Risedronic Acid,Proton Pump Inhibitors may diminish the therapeutic effect of Risedronate,MINOR
15550,Moderate Risk Qt Prolonging Agents,High Risk Qt Prolonging Agents,Moderate Risk QTc-Prolonging Agents may enhance the QTc-prolonging effect of Highest Risk QTc-Prolonging Agents,MINOR
15551,High Risk Qt Prolonging Agents,High Risk Qt Prolonging Agents,Highest Risk QTc-Prolonging Agents may enhance the QTc-prolonging effect of other Highest Risk QTc-Prolonging Agents,MINOR
1,Amitriptyline,Yohimbine,AMITRIPTYLINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction],MODERATE
2,Clomipramine,Yohimbine,CLOMIPRAMINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction],MODERATE
3,Desipramine,Yohimbine,DESIPRAMINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction],MODERATE
4,Nortriptyline,Yohimbine,NORTRIPTYLINE/YOHIMBINE HYDROCHLORIDE [VA Drug Interaction],MODERATE
